Copies,Nickname,Column 3,image,image style,title,title style,attack 01,attack 01 style,damage 01,damage 01 style,Life Points,Life Points style,attack 02,attack 02 style,damage 02,damage 02 style,image background,LP Container,LP,Power Cost 01 Container,Power Cost 01 Container style,Power Cost 01 Image,Power Cost 01 Image style,Power Cost 01,Power Cost 01 style,Power Cost 02 Container,Power Cost 02 Container style,Power Cost 02 Image,Power Cost 02 Image style,Power Cost 02,Power Cost 02 style,film box,film box style,Quote Box Film,Quote Box Film style,Quote Box Text,Quote Box Text style,Card Number,rarity,Card Number 1,Gemstone ,Card Type,Effect,Class
1,,Purple Card D.png,"puck02.webp,38,50,120",,Pukwudgie,,"Power: Once during your turn look at the top card of your opponent's deck. Then, you may have your opponent shuffle their deck.",{fontWeight:bold},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Wicked Grin,,1D6,,,34555_ball_purple_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,purple gemstone.png,,2,,,,,,,,026/125,rare,© 2025 Imaginarium.,Amethyst,Implement,,
1,,Red Card D.png,"robin02.webp,38,50,105",,Robin Hood,,Power: All Gemstone cards attached to Robin Hood count as Ruby Gemstones.,{fontWeight:bold},,{display:none},140,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Bull's Eye - Discard 2 Gemstones on Robin Hood to use this attack.,,2D6,,,34556_ball_red_icon2.png,140,,{display:none},purple gemstone.png,{display:none},,{display:none},,,red gemstone.png,,4,,,,,,,,027/125,rare,© 2025 Imaginarium.,Ruby,Implement,,
1,,Red Card D.png,romeo02.webp,,Romeo Montague,,"Power: If Juliet Capulet is in play, Romeo and any attached Gemstones aren't affected by any Implement cards.",{fontWeight:bold},,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Star Crossed Flame - Flip 3 coins and discard 1 Gemstone on Romeo for each tails.,,1D10,,,34556_ball_red_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,red gemstone.png,,3,,,,,,,,028/125,rare,© 2025 Imaginarium.,Ruby,Implement,,
1,,Green Card D.png,sasquatchB01.webp,"{backgroundSize:cover}
{backgroundPositionX:39%}
{backgroundPositionY:33%}",Sasquatch,,"Power: If an opponent’s attack would Knock Out Sasquatch, flip a coin. If heads, shuffle it and all attached cards into your deck.","{fontWeight:bold}
{width:175px}",,{display:none},140,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Primal Scream – Deal damage times the number of Gemstones on the defending Character. Heal Sasquatch for the same amount.,,1D4X,,,34555_ball_green_icon2.png,140,,{display:none},purple gemstone.png,{display:none},,{display:none},,,green gemstone.png,,2,,,,,,,,029/125,rare,© 2025 Imaginarium.,Emerald,Implement,,
1,,Green Card D.png,galahad02.webp,,Sir Galahad,,Power: All Gemstones on Sir Galahad count as Emerald Gemstones.,{fontWeight:bold},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Reciprocation - If Sir Galahad took damage from the Defending Character in the prior turn, that Character is now Wounded.",,1D6,,,34555_ball_green_icon2.png,70,,{display:none},purple gemstone.png,{display:none},,{display:none},,,green gemstone.png,,2,,,,,,,,030/125,rare,© 2025 Imaginarium.,Emerald,Implement,,
1,,Red Card D.png,lionC01.webp,,The Cowardly Lion,,"Power: When you play The Lion from your hand, you may discard the top 5 cards of your deck. If there are any Ruby Gemstones, attach them to any of your Ruby Characters.","{width:175px}
{fontWeight:bold}
{height:40px}",,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Found Courage - Discard 2 Ruby Gemstones on The Lion to use this attack.,{top:297px},1D10,,,34556_ball_red_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,red gemstone.png,,3,,,,,,,,031/125,rare,© 2025 Imaginarium.,Ruby,Implement,,
1,,Blue Card D.png,kraken07.webp,,The Kraken,,"Power: If an attack damages The Kraken while it's Active, you may switch it with 1 of your Inactive Characters, this prevents all other effects of that attack.","{height:42px}
{fontWeight:bold}
{width:175px}
{top:258px}",,{display:none},100,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Capsize - Flip a coin, if heads your opponent's Active Character is now Disabled, if tails its wounded.",{top:296px},2D4,,,34554_ball_blue_icon2.png,100,,{display:none},purple gemstone.png,{display:none},,{display:none},,,blue gemstone.png,,4,,,,,,,,032/125,rare,© 2025 Imaginarium.,Sapphire,Implement,,
1,,Purple Card D.png,madhatter02.webp,,The Mad Hatter,,Power: Once per turn you may choose a Gemstone on 1 of your Characters. Change the type of Gemstone to one of your choosing until the end of your turn.,"{height:37px}
{fontWeight:bold}",,{display:none},80,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Hat Trick: You may switch The Mad Hatter with one of your Inactive Characters.,,1D6,,,34555_ball_purple_icon2.png,80,,{display:none},purple gemstone.png,{display:none},,{display:none},,,purple gemstone.png,,3,,,,,,,,033/125,rare,© 2025 Imaginarium.,Amethyst,Implement,,
1,,Yellow Card D.png,thescarecrow01.png,,The Scarecrow,,"Power: Whenever you attach a Topaz card to The Scarecrow, your opponent chooses 1 of their Inactive Characters, if any, and switches it with their Active.","{height:42px}
{fontWeight:bold}
{width:175px}
{top:259px}",,{display:none},90,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Featherbrain Finesse - Flip a coin, if tails The Scarecrow does 1D4 damage to itself.",{top:297px},2D4,,,34557_yellow_ball_icon2.png,90,,{display:none},purple gemstone.png,{display:none},,{display:none},,,yellow gemstone.png,,2,,,,,,,,034/125,rare,© 2025 Imaginarium.,Topaz,Implement,,
1,,Blue Card D.png,tinmanB01.webp,,The Tin Woodsman,,"Power: Prevent all effects of your opponent's attacks, other than damage, done to The Tin Woodsman.",{fontWeight:bold},,{display:none},80,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Heart of Steel - The defending Character is now disabled.,,2D4,,,34554_ball_blue_icon2.png,80,,{display:none},purple gemstone.png,{display:none},,{display:none},,,blue gemstone.png,,3,,,,,,,,035/125,rare,© 2025 Imaginarium.,Sapphire,Implement,,
1,,Purple Card D.png,www02.webp,,The Wicked Witch of the West,,"Wicked Hex - Flip a coin, if it is heads the defending Character is now wounded.",,1D4,,80,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Emerald Enmity - Choose a type of Gemstone. This attack does 1D6 damage to each of your opponent's Characters with any Gemstones of that type on it.,"{top:292px}
{width:175px}",,{display:none},,34555_ball_purple_icon2.png,80,,,purple gemstone.png,{filter:none},1,,,,purple gemstone.png,,3,,,,,,,,036/125,rare,© 2025 Imaginarium.,Amethyst,Implement,,
1,,Yellow Card D.png,"toto02.webp,38,20,118",,Toto,,"Power: At any time during your turn, you may attach Toto to another character. If you do, choose a Gemstone and Toto becomes a 2-Gemstone card of that kind instead of a character.","{height:44px}
{fontWeight:bold}
{width:175px}",,{display:none},80,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Ankle Bite - Flip a coin, if tails Toto does 10 damage to himself.",{top:298px},2D4,,,34557_yellow_ball_icon2.png,80,,{display:none},purple gemstone.png,{display:none},,{display:none},,,yellow gemstone.png,,3,,,,,,,,037/125,rare,© 2025 Imaginarium.,Topaz,Implement,,
1,,Red Card D.png,Athos02.webp,,Athos–Comte de la Fère,,Noble Duel,,1D6,,120,"{background:radial-gradient(rgba(236, 32, 41, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Shadow of the Past - Athos takes 20 damage. If your opponent has Inactive Characters, they choose 1 to switch with their Active (Apply damage before switching).","{height:40px}
{top:286px}",2D4,,,34556_ball_red_icon2.png,120,,,red gemstone.png,,3,,,,red gemstone.png,,4,,,,,,,,038/125,uncommon,© 2025 Imaginarium.,Ruby,Implement,,
1,,Blue Card D.png,"beowulf02.webp,38,50,105",,Beowulf,,Slash,,1D6,,120,"{background:radial-gradient(rgba(11, 87, 165, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Stab,,1D10,,,34554_ball_blue_icon2.png,120,,,blue gemstone.png,,2,,,,blue gemstone.png,,4,,,,,,,,039/125,uncommon,© 2025 Imaginarium.,Sapphire,Implement,,
1,,Yellow Card D.png,cinderella02.webp,,Cinderella,,"Glass Slipper Strike - Flip a coin, if tails this attack does nothing.",,1D6,,60,"{background:radial-gradient(rgba(247, 238, 35, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Midnight Miracle,,2D4,,,34557_yellow_ball_icon2.png,60,,,yellow gemstone.png,,1,,,,yellow gemstone.png,,3,,,,,,,,040/125,uncommon,© 2025 Imaginarium.,Topaz,Implement,,
1,,Yellow Card D.png,DArtagnan012.webp,,D'Artagnan–Charles de Batz de Castelmore,,Musketeer’s Oath,,2D4,,80,"{background:radial-gradient(rgba(247, 238, 35, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Gallant Rush - Does 10 damage to each of your inactive Characters.,,2D6,,,34557_yellow_ball_icon2.png,80,,,yellow gemstone.png,,3,,,,yellow gemstone.png,,4,,,,,,,,041/125,uncommon,© 2025 Imaginarium.,Topaz,Implement,,
1,,Green Card D.png,"Jim02.webp,40,10,125",,Jim,,"Mississippi Drift – Flip a coin, if heads prevent all damage to Jim during your opponent’s next turn (Effects still apply.)",,,{display:none},70,"{background:radial-gradient(rgba(156, 204, 60, 1) 35%, rgba(0, 0, 0, 1) 97%)}","Heavy Chain – Flip a coin, if heads the Defending Character is now Disabled.",,1D6,,,,70,,,,,1,,,,,,2,,,,,,,,042/125,uncommon,© 2025 Imaginarium.,Emerald,Implement,,
1,,Green Card D.png,appleseed02.webp,,Johnny Appleseed,,Seed Toss - Attach up to 2 Emerald Gemstones from your hand to 1 of your Emerald Characters.,,,{display:none},90,"{background:radial-gradient(rgba(156, 204, 60, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Hardy Resolve,,2D4,,,,90,,,,,2,,,,,,3,,,,,,,,043/125,uncommon,© 2025 Imaginarium.,Emerald,Implement,,
1,,Red Card D.png,jharker01.webp,,Jonathan Harker,,Vampiric Knowledge - During your next turn attacks on the Defending Character by your Characters do 2x the damage. ,,1D4,,80,"{background:radial-gradient(rgba(236, 32, 41, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Resolute Strike - Discard 2 Ruby Gemstones on Jonathan to use this attack.,,1D10,,,34556_ball_red_icon2.png,80,,,red gemstone.png,,2,,,,red gemstone.png,,3,,,,,,,,044/125,uncommon,© 2025 Imaginarium.,Ruby,Implement,,
1,,Red Card D.png,ridinghood02.webp,,Little Red Riding Hood,,Scarlet Cloak Swish - You may return any 1 of your Characters in play and all cards attached to your hand.,,,{display:none},80,"{background:radial-gradient(rgba(236, 32, 41, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Wolfslayer Strike,,2D4,{allowTextShrink:false},,34556_ball_red_icon2.png,80,,,red gemstone.png,,1,,,,red gemstone.png,,3,,,,,,,,045/125,uncommon,© 2025 Imaginarium.,Ruby,Implement,,
1,,Green Card D.png,carraway02.webp,,Nick Carraway,,"Moral Mirror – If the defending Character attacked last turn while Nick was in play, Nick copies that attack (Ignoring resource costs and any other requirements).",{height:53px},,{display:none},70,"{background:radial-gradient(rgba(107, 69, 156, 1) 35%, rgba(0, 0, 0, 1) 97%)}",,{display:none},,{display:none},,34555_ball_green_icon2.png,70,,,green gemstone.png,{filter:none},2,,,{display:none},purple gemstone.png,{display:none},,{display:none},,,,,,,046/125,uncommon,© 2025 Imaginarium.,Emerald,Implement,,
1,,Green Card D.png,Paul02.webp,,Paul Bunyan,,Timber Cleave - The defending Character is now Wounded.,,,{display:none},70,"{background:radial-gradient(rgba(156, 204, 60, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Lumberjack Swing,,2D4,,,,70,,,,,1,,,,,,3,,,,,,,,047/125,uncommon,© 2025 Imaginarium.,Emerald,Implement,,
1,,Green Card D.png,pothos02.webp,,Porthos–Senior du Vallon,,"Over the Top Slash – Flip a coin, if heads Porthos deals half this attack’s damage to himself (rounded to the nearest 10th).",,1D6,,70,"{background:radial-gradient(rgba(156, 204, 60, 1) 35%, rgba(0, 0, 0, 1) 97%)}",,{display:none},,{display:none},,,70,,,,,1,,,,,{display:none},,{display:none},,,,,,,048/125,uncommon,© 2025 Imaginarium.,Emerald,Implement,,
1,,Yellow Card D.png,Helsing03.webp,,Professor Abraham Van Helsing,,Holy Stake - Does damage equal to half the defending Character's remaining LP (rounded to the nearest 10th).,,,{display:none},90,"{background:radial-gradient(rgba(247, 238, 35, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Flip 2 coins. This attack does the damage times the number of heads.,,1D6X,,,34557_yellow_ball_icon2.png,90,,,yellow gemstone.png,,1,,,,yellow gemstone.png,,3,,,,,,,,049/125,uncommon,© 2025 Imaginarium.,Topaz,Implement,,
1,,Yellow Card D.png,sherlock02.webp,,Sherlock Holmes,,Its a Trap - Flip a coin. if tails Sherlock deals 1D4 damage to himself.,,1D10,,100,"{background:radial-gradient(rgba(247, 238, 35, 1) 35%, rgba(0, 0, 0, 1) 97%)}",Case Closed - Discard all Gemstones on Sherlock to use this attack.,,2D6,,,34557_yellow_ball_icon2.png,100,,,yellow gemstone.png,,3,,,,yellow gemstone.png,,4,,,,,,,,050/125,uncommon,© 2025 Imaginarium.,Topaz,Implement,,
